row_no,time,actual_mag,pred_mag,actual_radiance,pred_radiance,residual,I_ml,I_cloud,I_art,I_bg,cloud_fraction,cloud_effect_fraction
20,2026-05-19 21:00,16.52,16.42222935050789,3.9226476205256706e-05,4.2922751709384856e-05,-3.6962755041281507e-06,2.1559480235613186e-09,3.368140983919264e-05,8.868065218009679e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
21,2026-05-19 21:00,16.32,16.23446659164075,4.716059723694631e-05,5.102613334758022e-05,-3.865536110633911e-06,2.0583281969467073e-09,3.906476665667361e-05,1.1588187658550688e-05,3.711207041589765e-07,0.9074193548387096,0.8234098855359
22,2026-05-19 21:00,16.45,16.441767485887148,4.18388073700578e-05,4.215725278737937e-05,-3.184454173215694e-07,1.946975752911338e-09,3.3068391768315376e-05,8.715793339152107e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
23,2026-05-19 21:00,16.54,16.36655036141768,3.851051232643315e-05,4.518134463540636e-05,-6.670832308973209e-06,1.919484866926383e-09,3.4289138320200905e-05,1.0519166126179548e-05,3.711207041589765e-07,0.9074193548387096,0.8234098855359
24,2026-05-19 21:00,16.57,16.501138062773006,3.74609939517664e-05,3.991389138835012e-05,-2.4528974365837153e-06,1.824449737176342e-09,3.113152222506062e-05,8.409424009393346e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
25,2026-05-19 21:00,16.65,16.547685188063834,3.4800004196557536e-05,3.823888507133562e-05,-3.4388808747780846e-06,1.9457095845698942e-09,2.8280141372272118e-05,9.585677285319956e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
26,2026-05-19 21:00,16.76,16.584159433653433,3.1447005477753016e-05,3.697562493483626e-05,-5.528619457083243e-06,1.776355328974452e-09,2.8497927972532802e-05,8.104799902815506e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
27,2026-05-19 21:00,16.82,16.725405615109544,2.9756325196723585e-05,3.2465122825034115e-05,-2.7087976283105296e-06,1.9617576861395476e-09,2.2957752721705052e-05,9.134287641483948e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
28,2026-05-19 21:00,16.92,16.668231637278655,2.7138091118811254e-05,3.42205228999546e-05,-7.082431781143345e-06,1.7694538752727636e-09,2.593844657374732e-05,7.909186168173029e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
29,2026-05-22 21:04,17.09,16.825035095886637,2.320487836692699e-05,2.9618649877588006e-05,-6.413771510661016e-06,6.587204719490113e-07,3.7395155730484672e-06,2.4782573917700017e-05,4.378399148905127e-07,0.48722580645161295,0.2373889864724246
30,2026-05-22 21:05,17.18,17.5622752583582,2.1358920355422385e-05,1.5019974417867859e-05,6.338945937554526e-06,5.788765154124144e-07,4.512941880547739e-06,9.490405542956508e-06,4.377504789511943e-07,0.4871774193548387,0.23734183792924038
31,2026-05-22 21:06,17.47,17.7471799504424,1.6352316951399156e-05,1.2667978456900029e-05,3.6843384944991274e-06,4.831176968526448e-08,4.876129033690556e-06,7.305876610512332e-06,4.376610430118759e-07,0.4871290322580646,0.23729469406867854
32,2026-05-22 21:08,17.24,16.367020334469036,2.0210604166952952e-05,4.5161791617571546e-05,-2.4951187450618594e-05,1.2690531037171974e-07,6.395788902649706e-06,3.820161523341688e-05,4.3748217113323903e-07,0.4870322580645161,0.2372004203954214
33,2026-05-22 21:09,17.24,17.405094385483757,2.0210604166952952e-05,1.735967307628757e-05,2.8509310906653817e-06,1.3966560739598876e-07,5.624662555393393e-06,1.1157952178304268e-05,4.373927351939206e-07,0.4869838709677419,0.23715329058272633
34,2026-05-22 21:10,16.58,15.874681610902755,3.711754949484496e-05,7.107332804126455e-05,-3.395577854641959e-05,5.0282004121501875e-08,1.0548183968247145e-05,6.0037558769641296e-05,4.3730329925460226e-07,0.48693548387096774,0.23710616545265348
35,2026-05-22 21:11,17.41,17.24847884347029,1.7281414870449914e-05,2.0053388099439964e-05,-2.771973228990051e-06,5.654054165448005e-08,6.726882432456379e-06,1.2832751262013823e-05,4.372138633152838e-07,0.48688709677419356,0.23705904500520292
36,2026-05-22 21:13,16.61,15.762406112746152,3.6105993224514496e-05,7.881644663596077e-05,-4.2710453411446276e-05,3.123294196504904e-08,1.2519798808391963e-05,6.582837989416712e-05,4.37034991436647e-07,0.48679032258064514,0.23696481815816856
37,2026-05-22 21:13,17.44,17.191764484504997,1.6810448338168098e-05,2.1128735309501714e-05,-4.318286971333617e-06,3.449236930032493e-08,7.215451190476189e-06,1.3441756758288553e-05,4.37034991436647e-07,0.48679032258064514,0.23696481815816856
38,2026-05-22 21:15,16.95,15.942541734246133,2.6398502794430016e-05,6.67671137393392e-05,-4.036861094490918e-05,2.5804059951281262e-08,1.1802381375240951e-05,5.450207218458896e-05,4.368561195580102e-07,0.4866935483870968,0.2368706100416233
39,2026-05-22 21:15,17.35,17.25054268217859,1.8263301819076738e-05,2.0015305508293042e-05,-1.752003689216304e-06,2.6169598650479775e-08,6.913689700928061e-06,1.2638590089156488e-05,4.368561195580102e-07,0.4866935483870968,0.2368706100416233
40,2026-05-22 21:17,16.96,16.914700879136284,2.615647986606221e-05,2.7270866958523232e-05,-1.114387092461024e-06,2.551412478110961e-08,3.3634702791063356e-06,2.3445205306956413e-05,4.3667724767937335e-07,0.4865967741935484,0.23677642065556714
41,2026-05-22 21:17,17.36,17.587145045137323,1.8095862861559454e-05,1.4679838518278227e-05,3.4160243432812267e-06,2.2547628478971497e-08,4.85958512269467e-06,9.361028519425212e-06,4.3667724767937335e-07,0.4865967741935484,0.23677642065556714
